"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"South Yorkshire","LSIP",201718,NA,"Education and training: Total",28220,17,"Education and training (adults only)","17/18"
"South Yorkshire","LSIP",201718,NA,"Further education and skills: Total",43640,17,"Total FE and skills provision","17/18"
"Stoke-on-Trent and Staffordshire","LSIP",201718,NA,"Apprenticeships: Total",7410,17,"Apprenticeships (all ages)","17/18"
"Stoke-on-Trent and Staffordshire","LSIP",201718,NA,"Community learning: Total",6570,17,"Community learning (adults only)","17/18"
"Stoke-on-Trent and Staffordshire","LSIP",201718,NA,"Education and training: Total",14060,17,"Education and training (adults only)","17/18"
"Stoke-on-Trent and Staffordshire","LSIP",201718,NA,"Further education and skills: Total",27370,17,"Total FE and skills provision","17/18"
"Swindon and Wiltshire","LSIP",201718,NA,"Apprenticeships: Total",4340,17,"Apprenticeships (all ages)","17/18"
"Swindon and Wiltshire","LSIP",201718,NA,"Community learning: Total",2080,17,"Community learning (adults only)","17/18"
"Swindon and Wiltshire","LSIP",201718,NA,"Education and training: Total",7030,17,"Education and training (adults only)","17/18"
"Swindon and Wiltshire","LSIP",201718,NA,"Further education and skills: Total",14510,17,"Total FE and skills provision","17/18"
"Tees Valley","LSIP",201718,NA,"Apprenticeships: Total",5580,17,"Apprenticeships (all ages)","17/18"
"Tees Valley","LSIP",201718,NA,"Community learning: Total",6960,17,"Community learning (adults only)","17/18"
"Tees Valley","LSIP",201718,NA,"Education and training: Total",22420,17,"Education and training (adults only)","17/18"
"Tees Valley","LSIP",201718,NA,"Further education and skills: Total",33650,17,"Total FE and skills provision","17/18"
"Thames Valley Berkshire","LSIP",201718,NA,"Apprenticeships: Total",3130,17,"Apprenticeships (all ages)","17/18"
"Thames Valley Berkshire","LSIP",201718,NA,"Community learning: Total",10190,17,"Community learning (adults only)","17/18"
"Thames Valley Berkshire","LSIP",201718,NA,"Education and training: Total",9760,17,"Education and training (adults only)","17/18"
"Thames Valley Berkshire","LSIP",201718,NA,"Further education and skills: Total",22820,17,"Total FE and skills provision","17/18"
"The Marches","LSIP",201718,NA,"Apprenticeships: Total",4390,17,"Apprenticeships (all ages)","17/18"
"The Marches","LSIP",201718,NA,"Community learning: Total",3090,17,"Community learning (adults only)","17/18"
"The Marches","LSIP",201718,NA,"Education and training: Total",8270,17,"Education and training (adults only)","17/18"
"The Marches","LSIP",201718,NA,"Further education and skills: Total",16340,17,"Total FE and skills provision","17/18"
"West Midlands and Warwickshire","LSIP",201718,NA,"Apprenticeships: Total",19330,17,"Apprenticeships (all ages)","17/18"
"West Midlands and Warwickshire","LSIP",201718,NA,"Community learning: Total",21740,17,"Community learning (adults only)","17/18"
"West Midlands and Warwickshire","LSIP",201718,NA,"Education and training: Total",76410,17,"Education and training (adults only)","17/18"
"West Midlands and Warwickshire","LSIP",201718,NA,"Further education and skills: Total",113150,17,"Total FE and skills provision","17/18"
"West of England (inc North Somerset)","LSIP",201718,NA,"Apprenticeships: Total",4980,17,"Apprenticeships (all ages)","17/18"
"West of England (inc North Somerset)","LSIP",201718,NA,"Community learning: Total",3780,17,"Community learning (adults only)","17/18"
"West of England (inc North Somerset)","LSIP",201718,NA,"Education and training: Total",16070,17,"Education and training (adults only)","17/18"
"West of England (inc North Somerset)","LSIP",201718,NA,"Further education and skills: Total",24890,17,"Total FE and skills provision","17/18"
"West Yorkshire","LSIP",201718,NA,"Apprenticeships: Total",12950,17,"Apprenticeships (all ages)","17/18"
"West Yorkshire","LSIP",201718,NA,"Community learning: Total",16730,17,"Community learning (adults only)","17/18"
"West Yorkshire","LSIP",201718,NA,"Education and training: Total",42150,17,"Education and training (adults only)","17/18"
"West Yorkshire","LSIP",201718,NA,"Further education and skills: Total",70780,17,"Total FE and skills provision","17/18"
"Worcestershire","LSIP",201718,NA,"Apprenticeships: Total",3080,17,"Apprenticeships (all ages)","17/18"
"Worcestershire","LSIP",201718,NA,"Community learning: Total",2410,17,"Community learning (adults only)","17/18"
"Worcestershire","LSIP",201718,NA,"Education and training: Total",5710,17,"Education and training (adults only)","17/18"
"Worcestershire","LSIP",201718,NA,"Further education and skills: Total",11100,17,"Total FE and skills provision","17/18"
"York and North Yorkshire","LSIP",201718,NA,"Apprenticeships: Total",5630,17,"Apprenticeships (all ages)","17/18"
"York and North Yorkshire","LSIP",201718,NA,"Community learning: Total",4650,17,"Community learning (adults only)","17/18"
"York and North Yorkshire","LSIP",201718,NA,"Education and training: Total",7890,17,"Education and training (adults only)","17/18"
"York and North Yorkshire","LSIP",201718,NA,"Further education and skills: Total",17960,17,"Total FE and skills provision","17/18"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,NA,"Apprenticeships: Total",4290,18,"Apprenticeships (all ages)","18/19"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,NA,"Community learning: Total",7880,18,"Community learning (adults only)","18/19"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,NA,"Education and training: Total",17420,18,"Education and training (adults only)","18/19"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,NA,"Further education and skills: Total",29970,18,"Total FE and skills provision","18/19"
"Buckinghamshire ","LSIP",201819,NA,"Apprenticeships: Total",1130,18,"Apprenticeships (all ages)","18/19"
"Buckinghamshire ","LSIP",201819,NA,"Community learning: Total",3540,18,"Community learning (adults only)","18/19"
"Buckinghamshire ","LSIP",201819,NA,"Education and training: Total",3860,18,"Education and training (adults only)","18/19"
"Buckinghamshire ","LSIP",201819,NA,"Further education and skills: Total",8560,18,"Total FE and skills provision","18/19"
"Cambridgeshire and Peterborough","LSIP",201819,NA,"Apprenticeships: Total",2080,18,"Apprenticeships (all ages)","18/19"
"Cambridgeshire and Peterborough","LSIP",201819,NA,"Community learning: Total",6790,18,"Community learning (adults only)","18/19"
"Cambridgeshire and Peterborough","LSIP",201819,NA,"Education and training: Total",8610,18,"Education and training (adults only)","18/19"
"Cambridgeshire and Peterborough","LSIP",201819,NA,"Further education and skills: Total",17130,18,"Total FE and skills provision","18/19"
"Cheshire and Warrington","LSIP",201819,NA,"Apprenticeships: Total",3440,18,"Apprenticeships (all ages)","18/19"
"Cheshire and Warrington","LSIP",201819,NA,"Community learning: Total",6490,18,"Community learning (adults only)","18/19"
"Cheshire and Warrington","LSIP",201819,NA,"Education and training: Total",12090,18,"Education and training (adults only)","18/19"
"Cheshire and Warrington","LSIP",201819,NA,"Further education and skills: Total",21820,18,"Total FE and skills provision","18/19"
"Cornwall and the Isles of Scilly","LSIP",201819,NA,"Apprenticeships: Total",2370,18,"Apprenticeships (all ages)","18/19"
"Cornwall and the Isles of Scilly","LSIP",201819,NA,"Community learning: Total",3640,18,"Community learning (adults only)","18/19"
"Cornwall and the Isles of Scilly","LSIP",201819,NA,"Education and training: Total",7990,18,"Education and training (adults only)","18/19"
"Cornwall and the Isles of Scilly","LSIP",201819,NA,"Further education and skills: Total",14480,18,"Total FE and skills provision","18/19"
"Cumbria","LSIP",201819,NA,"Apprenticeships: Total",2690,18,"Apprenticeships (all ages)","18/19"
"Cumbria","LSIP",201819,NA,"Community learning: Total",3280,18,"Community learning (adults only)","18/19"
"Cumbria","LSIP",201819,NA,"Education and training: Total",7040,18,"Education and training (adults only)","18/19"
"Cumbria","LSIP",201819,NA,"Further education and skills: Total",12730,18,"Total FE and skills provision","18/19"
"Derbyshire and Nottinghamshire","LSIP",201819,NA,"Apprenticeships: Total",8250,18,"Apprenticeships (all ages)","18/19"
"Derbyshire and Nottinghamshire","LSIP",201819,NA,"Community learning: Total",16670,18,"Community learning (adults only)","18/19"
"Derbyshire and Nottinghamshire","LSIP",201819,NA,"Education and training: Total",34290,18,"Education and training (adults only)","18/19"
"Derbyshire and Nottinghamshire","LSIP",201819,NA,"Further education and skills: Total",58590,18,"Total FE and skills provision","18/19"
"Dorset","LSIP",201819,NA,"Apprenticeships: Total",6150,18,"Apprenticeships (all ages)","18/19"
"Dorset","LSIP",201819,NA,"Community learning: Total",7560,18,"Community learning (adults only)","18/19"
"Dorset","LSIP",201819,NA,"Education and training: Total",14870,18,"Education and training (adults only)","18/19"
"Dorset","LSIP",201819,NA,"Further education and skills: Total",29260,18,"Total FE and skills provision","18/19"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201819,NA,"Apprenticeships: Total",2260,18,"Apprenticeships (all ages)","18/19"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201819,NA,"Community learning: Total",11650,18,"Community learning (adults only)","18/19"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201819,NA,"Education and training: Total",8560,18,"Education and training (adults only)","18/19"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201819,NA,"Further education and skills: Total",22440,18,"Total FE and skills provision","18/19"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,NA,"Apprenticeships: Total",5480,18,"Apprenticeships (all ages)","18/19"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,NA,"Community learning: Total",12640,18,"Community learning (adults only)","18/19"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,NA,"Education and training: Total",19370,18,"Education and training (adults only)","18/19"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,NA,"Further education and skills: Total",35970,18,"Total FE and skills provision","18/19"
"Gloucestershire","LSIP",201819,NA,"Apprenticeships: Total",2050,18,"Apprenticeships (all ages)","18/19"
"Gloucestershire","LSIP",201819,NA,"Community learning: Total",3150,18,"Community learning (adults only)","18/19"
"Gloucestershire","LSIP",201819,NA,"Education and training: Total",6010,18,"Education and training (adults only)","18/19"
"Gloucestershire","LSIP",201819,NA,"Further education and skills: Total",11360,18,"Total FE and skills provision","18/19"
"Greater Lincolnshire","LSIP",201819,NA,"Apprenticeships: Total",4130,18,"Apprenticeships (all ages)","18/19"
"Greater Lincolnshire","LSIP",201819,NA,"Community learning: Total",9120,18,"Community learning (adults only)","18/19"
"Greater Lincolnshire","LSIP",201819,NA,"Education and training: Total",17340,18,"Education and training (adults only)","18/19"
"Greater Lincolnshire","LSIP",201819,NA,"Further education and skills: Total",29840,18,"Total FE and skills provision","18/19"
"Greater London","LSIP",201819,NA,"Apprenticeships: Total",15800,18,"Apprenticeships (all ages)","18/19"
"Greater London","LSIP",201819,NA,"Community learning: Total",94620,18,"Community learning (adults only)","18/19"
"Greater London","LSIP",201819,NA,"Education and training: Total",168550,18,"Education and training (adults only)","18/19"
"Greater London","LSIP",201819,NA,"Further education and skills: Total",270930,18,"Total FE and skills provision","18/19"
"Greater Manchester","LSIP",201819,NA,"Apprenticeships: Total",10350,18,"Apprenticeships (all ages)","18/19"
"Greater Manchester","LSIP",201819,NA,"Community learning: Total",19870,18,"Community learning (adults only)","18/19"
"Greater Manchester","LSIP",201819,NA,"Education and training: Total",52430,18,"Education and training (adults only)","18/19"
"Greater Manchester","LSIP",201819,NA,"Further education and skills: Total",78150,18,"Total FE and skills provision","18/19"
"Heart of the South-West","LSIP",201819,NA,"Apprenticeships: Total",7360,18,"Apprenticeships (all ages)","18/19"
"Heart of the South-West","LSIP",201819,NA,"Community learning: Total",12650,18,"Community learning (adults only)","18/19"
"Heart of the South-West","LSIP",201819,NA,"Education and training: Total",24280,18,"Education and training (adults only)","18/19"
"Heart of the South-West","LSIP",201819,NA,"Further education and skills: Total",44450,18,"Total FE and skills provision","18/19"
"Hertfordshire","LSIP",201819,NA,"Apprenticeships: Total",2460,18,"Apprenticeships (all ages)","18/19"
"Hertfordshire","LSIP",201819,NA,"Community learning: Total",5200,18,"Community learning (adults only)","18/19"
"Hertfordshire","LSIP",201819,NA,"Education and training: Total",9940,18,"Education and training (adults only)","18/19"
"Hertfordshire","LSIP",201819,NA,"Further education and skills: Total",17690,18,"Total FE and skills provision","18/19"
"Hull and East Yorkshire","LSIP",201819,NA,"Apprenticeships: Total",3350,18,"Apprenticeships (all ages)","18/19"
"Hull and East Yorkshire","LSIP",201819,NA,"Community learning: Total",2790,18,"Community learning (adults only)","18/19"
"Hull and East Yorkshire","LSIP",201819,NA,"Education and training: Total",12830,18,"Education and training (adults only)","18/19"
"Hull and East Yorkshire","LSIP",201819,NA,"Further education and skills: Total",19110,18,"Total FE and skills provision","18/19"
"Kent and Medway","LSIP",201819,NA,"Apprenticeships: Total",5440,18,"Apprenticeships (all ages)","18/19"
"Kent and Medway","LSIP",201819,NA,"Community learning: Total",15350,18,"Community learning (adults only)","18/19"
"Kent and Medway","LSIP",201819,NA,"Education and training: Total",21850,18,"Education and training (adults only)","18/19"
