"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"Tees Valley","LEP",201819,"All other qualifications","129","428","1119","200","135","227"
"Tees Valley","LEP",201819,"Level 2","73","449","1923","303","639","459"
"Tees Valley","LEP",201819,"Level 3","129","418","4563","409","2810","797"
"Tees Valley","LEP",201819,"Total","331","1295","7605","912","3584","1483"
"Tees Valley","LEP",201920,"All other qualifications","90","429","1281","278","214","270"
"Tees Valley","LEP",201920,"Level 2","37","312","1159","219","361","230"
"Tees Valley","LEP",201920,"Level 3","108","442","4656","397","2930","779"
"Tees Valley","LEP",201920,"Total","235","1183","7096","894","3505","1279"
"Thames Valley Berkshire","LEP",201718,"All other qualifications","119","145","731","110","112","245"
"Thames Valley Berkshire","LEP",201718,"Level 2","75","160","928","157","203","333"
"Thames Valley Berkshire","LEP",201718,"Level 3","185","405","5976","406","3495","1485"
"Thames Valley Berkshire","LEP",201718,"Total","379","710","7635","673","3810","2063"
"Thames Valley Berkshire","LEP",201819,"All other qualifications","112","199","774","99","135","229"
"Thames Valley Berkshire","LEP",201819,"Level 2","96","174","1084","147","229","438"
"Thames Valley Berkshire","LEP",201819,"Level 3","230","426","6171","370","3661","1484"
"Thames Valley Berkshire","LEP",201819,"Total","438","799","8029","616","4025","2151"
"Thames Valley Berkshire","LEP",201920,"All other qualifications","121","208","848","107","157","255"
"Thames Valley Berkshire","LEP",201920,"Level 2","73","144","806","93","210","286"
"Thames Valley Berkshire","LEP",201920,"Level 3","201","428","6345","330","3747","1639"
"Thames Valley Berkshire","LEP",201920,"Total","395","780","7999","530","4114","2180"
"The Marches","LEP",201718,"All other qualifications","84","178","659","101","111","185"
"The Marches","LEP",201718,"Level 2","84","199","955","177","138","357"
"The Marches","LEP",201718,"Level 3","193","362","4743","366","2476","1346"
"The Marches","LEP",201718,"Total","361","739","6357","644","2725","1888"
"The Marches","LEP",201819,"All other qualifications","77","244","793","127","121","224"
"The Marches","LEP",201819,"Level 2","102","294","1425","245","218","566"
"The Marches","LEP",201819,"Level 3","174","365","4450","339","2256","1316"
"The Marches","LEP",201819,"Total","353","903","6668","711","2595","2106"
