"area","geographic_level","year","Year","jobpc","jobcnt"
"Thames Valley Berkshire","LSIP",2017,17,0.0352472089314195,198.9
"Thames Valley Berkshire","LSIP",2018,18,0.034329099773313,221.1
"Thames Valley Berkshire","LSIP",2019,19,0.0359781336779782,206
"Thames Valley Berkshire","LSIP",2020,20,0.0357172097592926,174.5
"Thames Valley Berkshire","LSIP",2021,21,0.0283333333333333,112.2
"Thames Valley Berkshire","LSIP",2022,22,0.0301038911460748,220.8
"The Marches","LEP",2017,17,0.0122629806840333,69.2
"The Marches","LEP",2018,18,0.0124677825047356,80.3
"The Marches","LEP",2019,19,0.0111776725989835,64
"The Marches","LEP",2020,20,0.0122809890289831,60
"The Marches","LEP",2021,21,0.0146717171717172,58.1
"The Marches","LEP",2022,22,0.0131704523764077,96.6
"The Marches","LSIP",2017,17,0.0122629806840333,69.2
"The Marches","LSIP",2018,18,0.0124677825047356,80.3
"The Marches","LSIP",2019,19,0.0111776725989835,64
"The Marches","LSIP",2020,20,0.0122809890289831,60
"The Marches","LSIP",2021,21,0.0146717171717172,58.1
"The Marches","LSIP",2022,22,0.0131704523764077,96.6
"West Midlands and Warwickshire","LSIP",2017,17,0.0780967570441255,440.7
"West Midlands and Warwickshire","LSIP",2018,18,0.0725553519858398,467.3
"West Midlands and Warwickshire","LSIP",2019,19,0.0666468728714393,381.6
"West Midlands and Warwickshire","LSIP",2020,20,0.0610979204191911,298.5
"West Midlands and Warwickshire","LSIP",2021,21,0.06,237.6
"West Midlands and Warwickshire","LSIP",2022,22,0.0626482698442996,459.5
"West of England","LEP",2017,17,0.0347864611022506,196.3
"West of England","LEP",2018,18,0.0301058907555197,193.9
"West of England","LEP",2019,19,0.0377246450215694,216
"West of England","LEP",2020,20,0.038357622400524,187.4
"West of England","LEP",2021,21,0.0368434343434343,145.9
