"area","geographic_level","time_period","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
"Heart of the South West","LEP",201819,"4531","Total","211","678","608","1891","1143"
"Heart of the South West","LEP",201920,"694","All other qualifications","60","239","120","107","168"
"Heart of the South West","LEP",201920,"931","Level 2","44","199","217","202","269"
"Heart of the South West","LEP",201920,"2578","Level 3","113","241","231","1353","640"
"Heart of the South West","LEP",201920,"4203","Total","217","679","568","1662","1077"
"Hull and East Yorkshire","LEP",201718,"1039","All other qualifications","123","342","194","90","290"
"Hull and East Yorkshire","LEP",201718,"1127","Level 2","92","269","195","202","369"
"Hull and East Yorkshire","LEP",201718,"3970","Level 3","142","360","364","2193","911"
"Hull and East Yorkshire","LEP",201718,"6136","Total","357","971","753","2485","1570"
"Hull and East Yorkshire","LEP",201819,"892","All other qualifications","88","304","159","121","220"
"Hull and East Yorkshire","LEP",201819,"1327","Level 2","79","347","213","266","422"
"Hull and East Yorkshire","LEP",201819,"3493","Level 3","110","312","328","1978","765"
"Hull and East Yorkshire","LEP",201819,"5712","Total","277","963","700","2365","1407"
"Hull and East Yorkshire","LEP",201920,"958","All other qualifications","95","325","163","163","212"
"Hull and East Yorkshire","LEP",201920,"992","Level 2","45","267","156","226","298"
"Hull and East Yorkshire","LEP",201920,"3733","Level 3","133","365","349","2050","836"
"Hull and East Yorkshire","LEP",201920,"5683","Total","273","957","668","2439","1346"
"Lancashire","LEP",201718,"735","All other qualifications","81","249","126","167","112"
"Lancashire","LEP",201718,"616","Level 2","47","131","75","183","180"
"Lancashire","LEP",201718,"2960","Level 3","101","297","206","1770","586"
"Lancashire","LEP",201718,"4311","Total","229","677","407","2120","878"
"Lancashire","LEP",201819,"692","All other qualifications","89","226","87","158","132"
"Lancashire","LEP",201819,"984","Level 2","48","226","131","315","264"
"Lancashire","LEP",201819,"2602","Level 3","69","245","191","1539","558"
"Lancashire","LEP",201819,"4278","Total","206","697","409","2012","954"
"Lancashire","LEP",201920,"760","All other qualifications","96","288","116","99","161"
"Lancashire","LEP",201920,"619","Level 2","37","188","101","110","183"
"Lancashire","LEP",201920,"2719","Level 3","90","282","152","1587","608"
"Lancashire","LEP",201920,"4098","Total","223","758","369","1796","952"
"Leeds City Region","LEP",201718,"3511","All other qualifications","498","1204","475","618","716"
"Leeds City Region","LEP",201718,"3470","Level 2","262","703","587","983","935"
"Leeds City Region","LEP",201718,"15933","Level 3","568","1346","1371","9661","2987"
"Leeds City Region","LEP",201718,"22914","Total","1328","3253","2433","11262","4638"
"Leeds City Region","LEP",201819,"3300","All other qualifications","483","1143","417","541","716"
"Leeds City Region","LEP",201819,"4296","Level 2","278","907","686","1266","1159"
"Leeds City Region","LEP",201819,"13938","Level 3","451","1161","1122","8524","2680"
"Leeds City Region","LEP",201819,"21534","Total","1212","3211","2225","10331","4555"
"Leeds City Region","LEP",201920,"3373","All other qualifications","428","1124","491","624","706"
"Leeds City Region","LEP",201920,"3617","Level 2","208","902","547","1021","939"
"Leeds City Region","LEP",201920,"14640","Level 3","509","1315","1104","8932","2780"
"Leeds City Region","LEP",201920,"21630","Total","1145","3341","2142","10577","4425"
"Leicester and Leicestershire","LEP",201718,"711","All other qualifications","107","195","82","121","206"
"Leicester and Leicestershire","LEP",201718,"734","Level 2","44","135","123","201","231"
"Leicester and Leicestershire","LEP",201718,"2715","Level 3","104","252","144","1751","464"
"Leicester and Leicestershire","LEP",201718,"4160","Total","255","582","349","2073","901"
"Leicester and Leicestershire","LEP",201819,"691","All other qualifications","96","176","70","137","212"
"Leicester and Leicestershire","LEP",201819,"1112","Level 2","74","187","126","398","327"
"Leicester and Leicestershire","LEP",201819,"2524","Level 3","111","212","134","1643","424"
"Leicester and Leicestershire","LEP",201819,"4327","Total","281","575","330","2178","963"
"Leicester and Leicestershire","LEP",201920,"776","All other qualifications","105","219","76","154","222"
"Leicester and Leicestershire","LEP",201920,"661","Level 2","56","149","108","138","210"
"Leicester and Leicestershire","LEP",201920,"2670","Level 3","112","243","116","1766","433"
"Leicester and Leicestershire","LEP",201920,"4107","Total","273","611","300","2058","865"
"Liverpool City Region","LEP",201718,"1900","All other qualifications","252","567","337","346","398"
